,job_title,company,location,salary,posted,date
296,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
297,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
298,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
299,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
300,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
301,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
302,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
303,Data Scientist,"Metron, Inc.",,,30,2020-04-20
305,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
306,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
307,Machine Learning On-call Intern,Perspecta Labs,,,30,2020-04-20
308,Data Scientist,Seen by Indeed,,,24,2020-04-20
309,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
310,Data Scientist,Northrop Grumman,,,30,2020-04-20
311,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
312,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
313,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
314,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
315,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
316,Data Scientist,Auth0,Remote,,3,2020-04-20
317,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
318,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
319,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
320,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
321,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
